127.0.0.1 - - [14/Jun/2023:20:30:31 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:37:59 +0900] "GET /lab/all_course.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:37:59 +0900] "GET /lab/login.jsp HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:37:59 +0900] "GET /lab/style.css?after HTTP/1.1" 200 7267
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:37:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:37:59 +0900] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:37:59 +0900] "GET /apple-touch-icon.png HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:38:04 +0900] "POST /lab/login_verify.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:38:04 +0900] "GET /lab/main.jsp HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:38:04 +0900] "GET /lab/style.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:38:06 +0900] "GET /lab/all_course.jsp HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:38:06 +0900] "GET /lab/style.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:38:06 +0900] "GET /lab/style.css HTTP/1.1" 200 7267
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:38:06 +0900] "GET /lab/style.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:38:37 +0900] "GET /lab/all_course.jsp HTTP/1.1" 200 7048
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:38:37 +0900] "GET /lab/style.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:38:37 +0900] "GET /lab/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:38:45 +0900] "GET /lab/all_course.jsp HTTP/1.1" 200 7048
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:38:45 +0900] "GET /lab/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:38:45 +0900] "GET /lab/style.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:40:24 +0900] "GET /lab/all_course.jsp HTTP/1.1" 200 6936
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:40:24 +0900] "GET /lab/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:40:24 +0900] "GET /lab/style.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:40:28 +0900] "GET /lab/all_course.jsp?searchText=%EC%9A%B4%EC%98%81%EC%B2%B4%EC%A0%9C HTTP/1.1" 200 3749
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:40:33 +0900] "GET /lab/all_course.jsp HTTP/1.1" 200 6936
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:40:37 +0900] "GET /lab/all_course.jsp?searchText=%ED%9A%8C%EA%B3%84%EC%9B%90%EB%A6%AC HTTP/1.1" 200 3749
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:44:42 +0900] "GET /lab/all_course.jsp?searchText=%ED%9A%8C%EA%B3%84%EC%9B%90%EB%A6%AC HTTP/1.1" 200 4086
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:44:42 +0900] "GET /lab/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:44:42 +0900] "GET /lab/style.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:45:20 +0900] "GET /lab/all_course.jsp?searchText=%ED%9A%8C%EA%B3%84%EC%9B%90%EB%A6%AC HTTP/1.1" 200 4121
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:45:58 +0900] "GET /lab/all_course.jsp?searchText=%ED%9A%8C%EA%B3%84%EC%9B%90%EB%A6%AC HTTP/1.1" 200 4078
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:45:58 +0900] "GET /lab/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:45:58 +0900] "GET /lab/style.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:46:07 +0900] "GET /lab/all_course.jsp?searchText=%ED%9A%8C%EA%B3%84%EC%9B%90%EB%A6%AC HTTP/1.1" 200 4078
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:47:54 +0900] "GET /lab/all_course.jsp?searchText=%ED%9A%8C%EA%B3%84%EC%9B%90%EB%A6%AC HTTP/1.1" 200 4086
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:47:54 +0900] "GET /lab/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:47:54 +0900] "GET /lab/style.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:49:19 +0900] "GET /lab/all_course.jsp?searchText=%ED%9A%8C%EA%B3%84%EC%9B%90%EB%A6%AC HTTP/1.1" 200 4106
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:49:19 +0900] "GET /lab/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:49:19 +0900] "GET /lab/style.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:20:49:39 +0900] "GET /lab/all_course.jsp?searchText=%ED%9A%8C%EA%B3%84%EC%9B%90%EB%A6%AC HTTP/1.1" 200 4108
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:18:06 +0900] "GET /lab/all_course.jsp?searchText=%ED%9A%8C%EA%B3%84%EC%9B%90%EB%A6%AC HTTP/1.1" 200 4209
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:18:06 +0900] "GET /lab/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:18:06 +0900] "GET /lab/style.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:18:24 +0900] "GET /lab/all_course.jsp?searchText=%ED%9A%8C%EA%B3%84%EC%9B%90%EB%A6%AC HTTP/1.1" 200 4224
